na_item,unit,geo\time	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
B1GQ,CP_MEUR,DK	243165.4 	247879.9 	254578.0 	258742.7 	265757.0 	273017.6 	283109.7 	294808.2 	302328.7 	310475.6 	312516.6 	334526.5 
B1GQ,CP_MEUR,EA	9472471.8 	9746253.0 	9781453.7 	9877616.6 	10131962.0 	10522115.6 	10816231.2 	11222413.8 	11600221.4 	11984171.8 	11405585.3 	12255526.3 
B1GQ,CP_MEUR,EA19	9533184.3 	9797236.2 	9836961.4 	9935447.4 	10168543.3 	10522115.6 	10816231.2 	11222413.8 	11600221.4 	11984171.8 	11405585.3 	12255526.3 
B1GQ,CP_MEUR,EE	14741.1 	16677.3 	17916.7 	18910.8 	20048.2 	20631.4 	21747.9 	23833.6 	25817.7 	27732.3 	26834.5 	30660.1 
B1GQ,CP_MEUR,EL	224124.0 b	203308.2 	188380.6 	179884.4 	177236.0 	176368.9 	174494.2 	176903.4 	179557.7 	183250.4 p	165326.4 p	182830.2 p
B1GQ,CP_MEUR,ES	1072709.0 	1063763.0 	1031099.0 	1020348.0 	1032158.0 	1077590.0 	1113840.0 	1161867.0 	1203259.0 	1244375.0 p	1121948.0 p	1202994.0 p
B1GQ,CP_MEUR,EU27_2020	10980305.7 	11323915.7 	11391843.7 	11520159.1 	11783874.3 	12214623.9 	12552500.0 	13076045.7 	13531477.0 	14017090.6 	13399689.6 	14447940.6 
B1GQ,CP_MEUR,EU28	12852481.1 	13236785.0 	13502872.6 	13616497.1 	14094954.5 	14859340.4 	14986619.2 	15435835.6 	15952374.2 	16543705.8 	: 	: 
B1GQ,CP_MEUR,FI	188143.0 	197998.0 	201037.0 	204321.0 	206897.0 	211385.0 	217518.0 	226301.0 	233468.0 	239852.0 	237995.0 	252934.0 
B1GQ,CP_MEUR,FR	1995289.0 	2058369.0 	2088804.0 	2117189.0 	2149765.0 	2198432.0 	2234129.0 	2297242.0 	2363306.0 	2437635.0 p	2302860.0 p	2483616.0 
B1GQ,CP_MEUR,HR	45578.0 	45378.6 	44483.6 	44329.4 	43918.6 	45186.2 	47246.3 	49888.8 	52688.8 	55571.4 	50189.6 p	57310.2 p
B1GQ,CP_MEUR,HU	99813.8 	102193.5 	100281.2 	102276.1 	106297.8 	112823.6 	116279.4 	127046.0 	136073.4 	146113.2 	136622.0 p	153536.7 p
B1GQ,CP_MEUR,IE	167363.1 	171683.4 	175512.8 	179411.2 	194933.8 	262800.0 	270058.1 	296925.2 	326042.8 	356526.3 	372868.5 	421529.2 
B1GQ,CP_MEUR,IS	10383.4 	10934.3 	11479.9 	12132.9 	13472.6 	15795.3 	18804.2 	21917.7 	22241.1 	22166.8 	18943.4 	21531.8 
B1GQ,CP_MEUR,IT	1611279.4 	1648755.8 	1624358.7 	1612751.3 	1627405.6 	1655355.0 	1695786.8 	1736592.8 	1771391.2 	1796633.8 	1656960.7 	1781221.1 
B1GQ,CP_MEUR,LI	: 	: 	: 	4812.4 	5021.7 	5649.1 	5637.7 	5734.6 	5666.3 	5742.0 p	5362.9 e	: 
B1GQ,CP_MEUR,LT	28033.8 	31317.2 	33410.2 	35039.5 	36581.3 	37345.7 	38889.9 	42276.3 	45514.8 	48859.9 	49507.2 	55325.6 
B1GQ,CP_MEUR,LU	42402.7 	44323.5 	46526.2 	49094.5 	51791.3 	54142.3 	56208.1 	58168.8 	60362.2 	62704.2 	64221.1 	73313.5 
B1GQ,CP_MEUR,LV	17937.5 	19666.0 	22097.5 	22791.3 	23625.8 	24572.1 	25371.3 	26984.4 	29153.6 	30647.2 	29432.7 	32916.6 
B1GQ,CP_MEUR,ME	3125.1 	3264.8 	3181.5 	3362.5 	3457.9 	3654.5 	3954.2 	4299.1 	4663.1 	4950.7 	4185.6 	: 
B1GQ,CP_MEUR,MK	7108.3 	7544.2 	7584.8 	8149.6 	8562.0 	9072.3 	9656.5 	10038.3 	10744.0 	11209.1 p	10766.3 e	: 
B1GQ,CP_MEUR,MT	6815.8 	6924.6 	7364.5 	7944.3 	8751.1 	9996.7 	10541.1 	11954.7 	12957.1 	14042.2 	13059.9 	14533.8 
B1GQ,CP_MEUR,NL	639187.0 	650359.0 	652966.0 	660463.0 	671560.0 	690008.0 	708337.0 	738146.0 	773987.0 	813055.0 	800095.0 p	859166.0 p
B1GQ,CP_MEUR,NO	323760.9 	358339.5 	396523.5 	393408.7 	375947.3 	347632.1 	333471.3 	353316.4 	370294.3 	361734.6 	318051.2 	407754.8 
B1GQ,CP_MEUR,PL	362190.9 	379860.0 	387947.0 	392310.7 	408967.8 	430465.8 	427091.8 	467426.6 	497842.3 	533599.9 	523667.8 	570206.6 
B1GQ,CP_MEUR,PT	179610.8 	176096.2 	168295.6 	170492.3 	173053.7 	179713.2 	186489.8 	195947.2 	205184.1 	214374.6 	200087.6 p	211461.1 p
B1GQ,CP_MEUR,RO	125472.3 	131841.6 	132711.2 	143690.4 	150708.6 	160149.8 	170063.4 	187772.7 	204496.9 	223162.5 	218863.3 p	239637.7 p
B1GQ,CP_MEUR,RS	31545.8 	35431.7 	33679.3 	36426.7 	35467.5 	35740.2 	36779.3 	39235.3 	42892.2 	46005.4 	46796.4 	53317.5 p
B1GQ,CP_MEUR,SE	374695.2 	412844.7 	430037.1 	441850.7 	438833.9 	455494.7 	466266.5 	480025.5 	470673.1 	476869.5 	475666.1 	530356.6 
